Model,Cross-model,Debate against same model,Debate against same model informed with 50% probability,Public Bets,Redteam
anthropic/claude-3.5-haiku,71.67 ± 4.92 (n=12),71.25 ± 6.44 (n=12),54.58 ± 9.64 (n=12),73.33 ± 7.18 (n=12),69.58 ± 8.91 (n=12)
anthropic/claude-3.7-sonnet,67.31 ± 3.88 (n=13),56.25 ± 8.56 (n=12),50.08 ± 2.15 (n=12),56.25 ± 6.08 (n=12),58.33 ± 2.46 (n=12)
deepseek/deepseek-chat,74.58 ± 7.22 (n=12),54.58 ± 4.98 (n=12),49.17 ± 6.34 (n=12),56.25 ± 7.42 (n=12),62.08 ± 4.50 (n=12)
deepseek/deepseek-r1-distill-qwen-14b:free,79.09 ± 10.44 (n=11),76.67 ± 13.20 (n=12),55.75 ± 4.71 (n=12),69.58 ± 16.30 (n=12),81.25 ± 9.32 (n=12)
google/gemini-2.0-flash-001,65.42 ± 8.38 (n=12),43.25 ± 27.03 (n=12),36.25 ± 26.04 (n=12),34.58 ± 25.80 (n=12),59.92 ± 5.40 (n=12)
google/gemma-3-27b-it,67.50 ± 6.22 (n=12),68.75 ± 7.42 (n=12),53.33 ± 11.15 (n=12),63.75 ± 9.80 (n=12),69.58 ± 6.56 (n=12)
openai/gpt-4o-mini,75.00 ± 3.69 (n=12),67.08 ± 7.22 (n=12),57.08 ± 12.70 (n=12),72.92 ± 4.98 (n=12),71.25 ± 2.26 (n=12)
openai/o3-mini,77.50 ± 5.84 (n=12),70.00 ± 10.66 (n=12),50.00 ± 0.00 (n=12),72.08 ± 9.40 (n=12),70.00 ± 9.53 (n=12)
qwen/qwen-max,73.33 ± 8.62 (n=12),62.08 ± 12.87 (n=12),43.33 ± 22.29 (n=12),64.58 ± 10.97 (n=12),63.33 ± 6.15 (n=12)
qwen/qwq-32b:free,78.75 ± 4.33 (n=12),70.83 ± 10.62 (n=12),50.42 ± 1.44 (n=12),71.67 ± 8.62 (n=12),65.00 ± 4.77 (n=12)
OVERALL AVERAGE,72.92 ± 7.93 (n=120),64.08 ± 15.32 (n=120),50.00 ± 13.61 (n=120),63.50 ± 16.38 (n=120),67.03 ± 8.96 (n=120)
